587 -835673965
double     1 2
square     2 1
square     4 4
square     16 61
square     256 16321
half       65536 16385
half       32768 8193
sqrt       16384 4065
half       128 33
sqrt       64 15
decrease   8 2
square     7 11
square     49 589
square     2401 1440601
half       5764801 1441202
half       2882400 720601
half       1441200 360301
half       720600 180151
half       360300 90076
half       180150 45039
half       90075 22520
half       45037 11261
square     22518 126759452
half       507060324 126765082
half       253530162 63382542
sqrt       126765081 31688456
half       11259 2816
square     5629 7920004
half       31685641 7921412
half       15842820 3960706
half       7921410 1980354
half       3960705 990178
half       1980352 495089
half       990176 247545
half       495088 123773
half       247544 61887
half       123772 30944
half       61886 15473
square     30943 239359577
half       957469249 239367314
half       478734624 119683657
half       239367312 59841829
half       119683656 29920915
half       59841828 14960458
half       29920914 7480230
half       14960457 3740116
half       7480228 1870058
half       3740114 935030
half       1870057 467516
half       935028 233758
half       467514 116880
half       233757 58441
half       116878 29221
half       58439 14611
square     29219 213430186
half       853749961 213437492
half       426874980 106718746
half       213437490 53359374
half       106718745 26679688
half       53359372 13339844
half       26679686 6669923
half       13339843 3334962
half       6669921 1667482
half       3334960 833741
half       1667480 416871
half       833740 208436
half       416870 104219
half       208435 52110
half       104217 26056
half       52108 13028
square     26054 169696216
half       678810916 169702730
half       339405458 84851366
sqrt       169702729 42422426
half       13027 3258
square     6513 10603165
half       42419169 10604794
half       21209584 5302397
half       10604792 2651199
half       5302396 1325600
half       2651198 662801
half       1325599 331401
half       662799 165701
half       331399 82851
half       165699 41426
half       82849 20714
half       41424 10357
square     20712 107241559
half       428986944 107246737
half       214493472 53623369
sqrt       107246736 26809096
half       10356 2590
square     5178 6701627
half       26811684 6702922
half       13405842 3351462
sqrt       6702921 1675084
half       2589 649
square     1294 418286
half       1674436 418610
half       837218 209306
sqrt       418609 104491
half       647 163
square     323 26002
half       104329 26084
half       52164 13042
square     26082 170061161
half       680270724 170067682
half       340135362 85033842
sqrt       170067681 42513661
half       13041 3262
square     6520 10625971
half       42510400 10627601
half       21255200 5313801
sqrt       10627600 2656086
half       3260 816
square     1630 663818
half       2656900 664226
half       1328450 332114
sqrt       664225 165853
half       815 205
square     407 41311
half       165649 41414
half       82824 20707
half       41412 10354
square     20706 107179433
half       428738436 107184610
half       214369218 53592306
sqrt       107184609 26793565
half       10353 2590
square     5176 6696451
half       26790976 6697745
half       13395488 3348873
sqrt       6697744 1673790
decrease   2588 2
square     2587 1672496
half       6692569 1673144
half       3346284 836572
half       1673142 418287
half       836571 209144
half       418285 104573
half       209142 52287
half       104571 26144
half       52285 13073
square     26142 170844506
half       683404164 170851042
half       341702082 85425522
sqrt       170851041 42709493
half       13071 3269
square     6535 10674923
half       42706225 10676558
half       21353112 5338279
half       10676556 2669140
half       5338278 1334571
half       2669139 667286
half       1334569 333644
half       667284 166822
half       333642 83412
half       166821 41707
half       83410 20854
half       41705 10428
square     20852 108696264
half       434805904 108701477
half       217402952 54350739
sqrt       108701476 27172763
half       10426 2608
square     5213 6792540
half       27175369 6793844
half       13587684 3396922
half       6793842 1698462
half       3396921 849232
half       1698460 424616
half       849230 212309
half       424615 106155
half       212307 53078
half       106153 26540
half       53076 13270
square     26538 176059727
half       704265444 176066362
half       352132722 88033182
sqrt       176066361 44013274
half       13269 3319
square     6634 11000831
half       44009956 11002490
half       22004978 5501246
sqrt       11002489 2749794
half       3317 831
square     1658 686827
half       2748964 687242
half       1374482 343622
sqrt       687241 171604
half       829 209
square     414 42746
half       171396 42850
half       85698 21426
sqrt       42849 10661
half       207 53
square     103 2627
square     10609 28135069
half       112550881 28137722
half       56275440 14068861
half       28137720 7034431
half       14068860 3517216
half       7034430 1758609
half       3517215 879305
half       1758607 439653
half       879303 219827
half       439651 109914
half       219825 54958
half       109912 27479
half       54956 13740
square     27478 188753252
half       755040484 188760122
half       377520242 94380062
sqrt       188760121 47186596
half       13739 3436
square     6869 11794074
half       47183161 11795792
half       23591580 5897896
half       11795790 2948949
half       5897895 1474475
half       2948947 737238
half       1474473 368620
half       737236 184310
half       368618 92156
half       184309 46079
half       92154 23040
half       46077 11521
square     23038 132681602
half       530749444 132687362
half       265374722 66343682
sqrt       132687361 33168961
half       11519 2881
square     5759 8290081
half       33166081 8291522
half       16583040 4145761
half       8291520 2072881
half       4145760 1036441
half       2072880 518221
half       1036440 259111
half       518220 129556
half       259110 64779
half       129555 32390
half       64777 16196
half       32388 8098
square     16194 65557361
half       262245636 65561410
half       131122818 32780706
sqrt       65561409 16388329
half       8097 2026
square     4048 4095565
half       16386304 4096577
half       8193152 2048289
sqrt       4096576 1023639
half       2024 507
square     1012 255784
half       1024144 256037
half       512072 128019
sqrt       256036 63883
half       506 128
square     253 15940
half       64009 16004
half       32004 8002
square     16002 64012001
half       256064004 64016002
half       128032002 32008002
sqrt       64016001 16002001
half       8001 2002
square     4000 3999001
half       16000000 4000001
half       8000000 2000001
sqrt       4000000 999501
half       2000 501
square     1000 249751
half       1000000 250001
half       500000 125001
sqrt       250000 62376
half       500 126
square     250 15563
half       62500 15626
square     31250 244132813
half       976562500 244140626
half       488281250 122070314
sqrt       244140625 61031251
sqrt       15625 3876
half       125 33
square     62 946
square     3844 3693124
half       14776336 3694085
half       7388168 1847043
sqrt       3694084 923041
half       1922 482
sqrt       961 233
half       31 9
square     15 53
square     225 12601
half       50625 12658
square     25312 160168009
half       640697344 160174337
half       320348672 80087169
sqrt       160174336 40040421
half       12656 3165
square     6328 10009315
half       40043584 10010897
half       20021792 5005449
sqrt       10010896 2501934
half       3164 792
square     1582 625286
half       2502724 625682
half       1251362 312842
sqrt       625681 156223
half       791 199
square     395 38908
half       156025 39008
half       78012 19504
half       39006 9753
square     19503 95086877
half       380367009 95091754
half       190183504 47545877
half       95091752 23772939
half       47545876 11886470
half       23772938 5943236
half       11886469 2971619
half       5943234 1485810
half       2971617 742906
half       1485808 371453
half       742904 185727
half       371452 92864
half       185726 46433
half       92863 23217
half       46431 11609
